en,ru,nl,es,de,fr
"little, few","маленький, немного",weinig,"poco, pocos","wenig, wenige","peu, peu"
which,который,welk,que,die,qui
perhaps,"возможно,",wellicht,quizás,vielleicht,peut-être
wish,пожелание,de wens,desear,Wunsch,souhait
to wish,желать,wensen,desear,zu wünschen,souhaiter
world,мир,de wereld,mundo,Welt,monde
work,работа,het werk,trabajo,Arbeit,travail
reality,реальность,de werkelijkheid,realidad,Realität,réalité
to work,работать,werken,a trabajar,zur Arbeit,travailler
west,запад,het westen,oeste,West,Ouest
western,запад,westers,occidental,westlich,occidental
law,закон,de wet,ley,Gesetz,loi
science,наука,de wetenschap,ciencia,Wissenschaft,science
scientific,научный,wetenschappelijk,científico,wissenschaftlich,scientifique
we,мы,wij,nosotros,wir,nous
wine,вино,de wijn,vino,Wein,le vin
wild,дикий,wild,salvaje,wild,sauvage
to want,хотеть,willen,querer,zu wollen,vouloir
wind,ветер,de wind,viento,Wind,vent
to win,выиграть,winnen,para ganar,zu gewinnen,pour gagner
profit,прибыль,de winst,beneficio,Gewinn,bénéfice
winter,зима,de winter,invierno,Winter,l'hiver
white,белый,wit,blanco,weiß,blanc
cloud,облако,de wolk,nube,Wolke,nuage
word,слово,het woord,palabra,Wort,mot
to become,стать,worden,convertirse en,zu werden,devenir
"matter, business","дело, бизнес",de zaak,"materia, negocio","Materie, Geschäft","matière, entreprise"
hall,зал,de zaal,hall,Halle,salle
soft,мягкий,zacht,suave,weich,doux
bag,сумка,de zak,bolsa,Tasche,sac
affairs,дела,de zaken,asuntos,Angelegenheiten,affaires
sand,песок,het zand,arena,Sand,sable
sea,море,de zee,mar,Meer,mer
to say,сказать,zeggen,decir,um zu sagen,à dire
sure,конечно,zeker,seguro,sicher,sûr
security,безопасность,de zekerheid,seguridad,Sicherheit,sécurité
self,себя,zelf,auto,selbst,soi
even,даже,zelfs,incluso,sogar,même
six,шесть,zes,seis,sechs,six
to put,ставить,zetten,poner,zu setzen,pour mettre
himself,сам,zichzelf,él mismo,selbst,lui-même
sick,больной,ziek,enfermo,krank,malade
hospital,больница,het ziekenhuis,hospital,Krankenhaus,hôpital
disease,болезнь,de ziekte,enfermedad,Krankheit,maladie
to see,видеть,zien,para ver,zu sehen,voir
she,она,zij,ella,sie,elle
to be,быть,zijn,ser,zu sein,être
sentence,предложение,de zin,frase,Satz,condamnation
to sing,петь,zingen,cantar,zu singen,chanter
to sit,сидеть,zitten,sentarse,zu sitzen,s'asseoir
so,так что,zo,así que,also,donc
such as,такие как,zoals,como,wie zum Beispiel,tels que
so that,чтобы,zodat,para que,so dass,de sorte que
as soon as,как только,zodra,tan pronto como,sobald,dès que
to search,для поиска,zoeken,buscar,zu suchen,pour rechercher
as long as,"до тех пор, пока",zolang,mientras,so lange wie,tant que
summer,лето,de zomer,verano,Sommer,été
sunday,воскресенье,de zondag,domingo,sonntag,dimanche
without,без,zonder,sin,ohne,sans
son,сын,de zoon,hijo,Sohn,fils
care,уход,de zorg,atención,Pflege,soins
to care,заботиться,zorgen,cuidar,zur Pflege,aux soins
would,будет,zouden,sería,würde,serait
that much,так много,zoveel,tanto,so viel,à ce point
"shall, will","будет, будет",zullen,"deberá, hará","soll, wird","est, sera"
sister,сестра,de zuster,hermana,Schwester,sœur
heavy,тяжелый,zwaar,pesado,schwer,lourd
"heavy, light","тяжёлый, лёгкий","zwaar, licht","pesado, ligero","schwer, leicht","lourd, léger"
weak,слабый,zwak,débil,schwach,faible
black,черный,zwart,negro,schwarz,noir
"black, white","чёрный, белый","zwart, wit","negro, blanco","schwarz, weiß","noir, blanc"
